time, Quad.Est.E.Pos, Quad.Est.S.Z
3.139955,0.105155,0.354420
3.144954,0.104950,0.354591
3.149954,0.104814,0.354706
3.154954,0.104607,0.354879
3.159953,0.104454,0.354995
3.164953,0.104246,0.355170
3.169953,0.104089,0.355286
3.174952,0.103874,0.355462
3.179952,0.103732,0.355580
3.184952,0.103510,0.355758
3.189951,0.103379,0.355877
3.194951,0.103155,0.356056
3.199950,0.103003,0.356176
3.204950,0.097672,0.355088
3.209950,0.097471,0.355198
3.214949,0.097210,0.355365
3.219949,0.097002,0.355476
3.224949,0.096742,0.355644
3.229948,0.096560,0.355757
3.234948,0.096299,0.355926
3.239948,0.096120,0.356040
3.244947,0.095861,0.356210
3.249947,0.095681,0.356325
3.254946,0.095412,0.356497
3.259946,0.095199,0.356613
3.264946,0.094912,0.356786
3.269945,0.094730,0.356903
3.274945,0.094441,0.357078
3.279945,0.094225,0.357195
3.284944,0.093925,0.357372
3.289944,0.093709,0.357490
3.294944,0.093401,0.357669
3.299943,0.093309,0.357788
3.304943,0.068145,0.356704
3.309942,0.067831,0.356814
3.314942,0.067438,0.356980
3.319942,0.067184,0.357091
3.324941,0.066787,0.357258
3.329941,0.066565,0.357370
3.334941,0.066150,0.357539
3.339940,0.065870,0.357652
3.344940,0.065451,0.357822
3.349940,0.065163,0.357936
3.354939,0.064729,0.358108
3.359939,0.064463,0.358223
3.364938,0.064035,0.358396
3.369938,0.063752,0.358512
3.374938,0.063323,0.358686
3.379937,0.063080,0.358803
3.384937,0.062658,0.358979
3.389937,0.062336,0.359097
3.394936,0.061914,0.359274
3.399936,0.061642,0.359393
3.404936,0.079752,0.358314
3.409935,0.079978,0.358423
3.414935,0.080210,0.358588
3.419935,0.080372,0.358699
3.424934,0.080611,0.358865
3.429934,0.080775,0.358977
3.434933,0.081022,0.359145
3.439933,0.081181,0.359258
3.444933,0.081441,0.359427
3.449932,0.081617,0.359540
3.454932,0.081883,0.359711
3.459932,0.082060,0.359826
3.464931,0.082331,0.359998
3.469931,0.082507,0.360113
3.474931,0.082782,0.360287
3.479930,0.082969,0.360404
3.484930,0.083251,0.360579
3.489929,0.083452,0.360696
3.494929,0.083741,0.360873
3.499929,0.083901,0.360991
3.504928,0.087534,0.359916
3.509928,0.088033,0.360025
3.514928,0.088694,0.360189
3.519927,0.089151,0.360300
3.524927,0.089812,0.360465
3.529927,0.090227,0.360576
3.534926,0.090902,0.360744
3.539926,0.091375,0.360856
3.544925,0.092045,0.361024
3.549925,0.092493,0.361137
3.554925,0.093170,0.361308
3.559924,0.093625,0.361421
3.564924,0.094309,0.361593
3.569924,0.094761,0.361708
3.574923,0.095447,0.361881
3.579923,0.095866,0.361997
3.584923,0.096546,0.362171
3.589922,0.096959,0.362288
3.594922,0.097635,0.362464
3.599921,0.098111,0.362582
3.604921,0.112991,0.361511
3.609921,0.113054,0.361620
3.614920,0.113205,0.361783
3.619920,0.113341,0.361893
3.624920,0.113496,0.362058
3.629919,0.113618,0.362169
3.634919,0.113778,0.362335
3.639919,0.113892,0.362447
3.644918,0.114059,0.362615
3.649918,0.114188,0.362727
3.654917,0.114380,0.362897
3.659917,0.114536,0.363010
3.664917,0.114749,0.363181
3.669916,0.114823,0.363296
3.674916,0.115024,0.363468
3.679916,0.115074,0.363583
3.684915,0.115268,0.363757
3.689915,0.115428,0.363873
3.694915,0.115644,0.364049
3.699914,0.115811,0.364166
3.704914,0.081999,0.363099
3.709913,0.081938,0.363207
3.714913,0.081675,0.363370
3.719913,0.081357,0.363480
3.724912,0.081129,0.363644
3.729912,0.080972,0.363754
3.734912,0.080751,0.363920
3.739911,0.080598,0.364031
3.744911,0.080394,0.364198
3.749911,0.080223,0.364310
3.754910,0.079985,0.364479
3.759910,0.079796,0.364592
3.764910,0.079549,0.364762
3.769909,0.079551,0.364876
3.774909,0.079358,0.365048
3.779908,0.079541,0.365163
3.784908,0.079425,0.365336
3.789908,0.079330,0.365452
3.794907,0.079216,0.365626
3.799907,0.079225,0.365743
3.804907,0.089568,0.364680
3.809906,0.089387,0.364788
3.814906,0.089235,0.364951
3.819906,0.089099,0.365059
3.824905,0.088958,0.365223
3.829905,0.088772,0.365333
3.834904,0.088667,0.365498
3.839904,0.088582,0.365609
3.844904,0.088496,0.365775
3.849903,0.088443,0.365887
3.854903,0.088366,0.366055
3.859903,0.088335,0.366167
3.864902,0.088271,0.366337
3.869902,0.088149,0.366450
3.874902,0.088065,0.366621
3.879901,0.088196,0.366736
3.884901,0.088154,0.366908
3.889900,0.087885,0.367023
3.894900,0.087804,0.367197
3.899900,0.087972,0.367314
3.904899,0.088624,0.366255
3.909899,0.088618,0.366362
3.914899,0.088651,0.366524
3.919898,0.088664,0.366632
3.924898,0.088700,0.366795
3.929898,0.088742,0.366904
3.934897,0.088774,0.367069
3.939897,0.088786,0.367179
3.944896,0.088829,0.367345
3.949896,0.088878,0.367456
3.954896,0.088952,0.367623
3.959895,0.089095,0.367735
3.964895,0.089211,0.367904
3.969895,0.089268,0.368017
3.974894,0.089378,0.368187
3.979894,0.089600,0.368301
3.984894,0.089739,0.368473
3.989893,0.089913,0.368588
3.994893,0.090063,0.368761
3.999892,0.090289,0.368877
4.004892,0.077307,0.367822
4.009892,0.077338,0.367929
4.014892,0.077193,0.368090
4.019891,0.077041,0.368198
4.024891,0.076906,0.368361
4.029891,0.076812,0.368470
4.034890,0.076674,0.368633
4.039890,0.076571,0.368743
4.044889,0.076436,0.368908
4.049889,0.076337,0.369019
4.054889,0.076184,0.369186
4.059888,0.076078,0.369297
4.064888,0.075916,0.369465
4.069888,0.075838,0.369578
4.074887,0.075676,0.369747
4.079887,0.075555,0.369861
4.084887,0.075381,0.370032
4.089886,0.075138,0.370146
4.094886,0.074930,0.370319
4.099885,0.074759,0.370434
4.104885,0.089344,0.369384
4.109885,0.089623,0.369490
4.114884,0.090048,0.369650
4.119884,0.090338,0.369758
